progress,duration,age,english_level,language,rs2,rs1,rd1,rd2,ta1,ta2,ta3,ta4,ps1,ps2,ps3,ps4,pv1,pv2,pv3,pv4,se2,rc4,si4,cr7,ca3,re1,sn1,cr8,se1,si2,se7,rc3,se4,rc2,ca1,rc1,cr1,cr6,se3,si3,sn3,se5,ca2,si1,re4,cr5,re3,se8,ca4,re2,cr2,sn2,se6,sn4,cr4,cr3,rfs4,rfs3,rfs2,rfs1
100,706,2,2nd,dutch,True,6,5,5,5,5,3,3,7,5,6,7,4,2,5,6,7,6,3,6,7,5,6,5,7,6,5,2,5,4,7,1,7,7,6,6,4,7,7,7,3,7,5,4,6,6,7,4,7,4,6,6,61.6,27.7,47.0,29.9
100,702,2,2nd,dutch,True,7,7,5,7,7,7,7,6,7,6,6,5,6,2,4,6,6,4,6,7,6,6,6,6,7,4,2,7,1,7,2,6,6,7,6,4,5,6,7,2,6,5,1,7,6,6,6,3,4,6,5,61.6,27.7,66.4,61.2
100,800,2,2nd,dutch,True,6,2,2,5,5,2,2,6,6,6,6,3,2,4,4,3,3,4,5,5,5,4,3,4,6,4,4,6,2,3,5,3,5,6,5,3,5,6,4,5,5,5,4,5,6,3,5,5,3,6,5,61.6,61.3,66.4,29.9
100,802,2,2nd,dutch,True,7,6,6,6,6,6,6,6,5,4,6,2,2,4,4,5,2,4,6,5,6,6,6,6,6,5,2,6,2,6,6,6,6,6,5,3,5,6,4,3,6,5,4,6,6,6,5,5,4,6,5,61.6,27.7,47.0,29.9
100,410,2,2nd,dutch,True,6,6,6,6,7,6,6,7,7,7,7,4,2,3,4,5,5,4,4,7,5,6,4,6,5,6,3,5,2,7,4,5,6,6,6,6,6,7,5,6,6,7,4,7,5,6,6,6,4,6,6,61.6,61.3,66.4,61.2
100,863,3,2nd,dutch,True,6,6,6,6,6,6,6,5,6,3,7,3,3,5,5,1,3,4,6,6,4,5,6,3,6,5,2,3,3,6,5,6,6,6,6,6,6,6,3,3,6,6,5,6,5,6,5,6,4,6,6,61.6,61.3,66.4,29.9
100,479,2,2nd,dutch,True,5,5,5,5,6,5,5,5,7,6,5,3,2,3,5,5,5,4,6,6,5,5,5,5,7,4,4,7,4,5,4,6,7,7,6,5,6,7,5,6,7,6,4,5,6,6,6,7,4,7,7,61.6,61.3,47.0,61.2
100,600,2,2nd,dutch,True,7,3,2,5,6,5,5,5,7,6,5,2,4,3,1,6,2,7,7,7,7,5,7,7,5,7,4,6,6,6,5,7,7,5,6,3,6,7,3,3,7,7,6,7,7,7,7,6,4,7,7,61.6,61.3,66.4,29.9
100,949,3,2nd,dutch,True,6,6,5,6,6,4,2,6,7,5,4,3,1,4,4,6,6,4,6,4,6,6,7,6,6,5,6,6,2,6,2,6,4,6,3,6,4,7,6,7,4,6,6,6,7,6,7,3,4,7,7,61.6,27.7,47.0,61.2
100,379,2,2nd,tamil ,True,1,5,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,6,6,6,6,7,6,6,6,6,6,6,6,7,6,7,7,7,6,6,6,6,7,6,6,6,61.6,61.3,66.4,61.2
100,842,2,2nd,dutch,True,5,6,5,6,6,3,3,6,6,5,4,5,2,4,5,5,4,4,6,6,6,2,6,4,5,6,4,4,5,6,6,6,6,6,4,2,6,6,3,6,6,5,4,6,6,6,2,5,2,6,6,61.6,27.7,47.0,29.9
100,3893,2,2nd,dutch,True,7,6,5,5,5,5,2,6,6,6,6,3,2,4,4,6,5,4,5,6,7,7,5,6,6,4,2,6,3,6,3,7,6,7,6,6,6,7,6,6,7,6,4,5,7,6,7,6,5,7,5,61.6,61.3,47.0,61.2
100,2611,2,2nd,dutch,True,7,5,4,6,7,5,5,6,7,6,6,4,3,4,6,2,6,2,4,5,5,4,2,5,4,3,3,6,2,6,5,6,3,7,6,4,7,6,3,3,4,5,1,4,6,4,6,4,4,4,6,61.6,27.7,66.4,29.9
100,667,2,2nd,dutch,True,6,5,5,5,5,5,5,6,6,6,6,4,4,2,5,3,4,5,5,3,5,5,3,4,6,3,3,6,2,3,3,5,3,6,5,3,4,6,5,5,5,5,3,3,6,3,6,3,4,6,6,61.6,27.7,66.4,61.2
100,4485,2,2nd,dutch,True,6,6,5,7,7,7,6,3,7,6,6,1,2,5,5,3,5,5,7,7,5,5,6,6,5,7,2,7,1,7,2,6,6,6,5,5,7,7,3,6,6,5,3,7,5,5,7,6,6,7,7,61.6,61.3,66.4,61.2
100,520,2,2nd,dutch,True,7,6,5,6,6,5,5,6,7,5,5,2,1,3,3,6,2,4,6,5,5,6,6,6,5,6,5,6,2,6,5,6,6,6,5,4,5,6,6,4,5,6,6,6,5,6,6,5,4,6,6,61.6,27.7,47.0,29.9
100,797,2,2nd,dutch,True,6,5,7,6,6,6,5,6,7,6,7,3,1,3,3,7,4,4,7,6,6,6,7,7,6,5,2,7,2,7,2,7,7,7,5,5,6,7,6,5,7,6,6,6,6,7,6,7,3,7,7,61.6,61.3,66.4,61.2
100,1472,3,2nd,bahasa,False,6,4,3,5,4,2,2,6,6,5,3,2,2,2,2,3,4,6,5,5,6,6,5,4,6,5,4,6,5,5,4,6,6,6,6,6,5,6,4,6,6,6,5,5,6,5,6,5,6,6,6,61.6,27.7,47.0,29.9
100,330,5,2nd,dutch,False,3,5,3,4,5,2,2,6,6,6,6,5,5,5,5,2,6,2,3,1,2,5,2,2,2,2,6,2,6,2,6,3,2,2,2,5,2,2,2,2,2,2,2,2,2,2,5,2,5,2,3,61.6,27.7,66.4,61.2
100,2709,7,2nd,dutch,False,4,6,1,5,5,1,1,6,7,4,2,6,6,6,4,6,6,2,3,2,2,2,5,6,6,2,4,6,2,4,3,6,6,6,2,2,5,4,5,4,5,2,2,1,2,6,4,5,2,6,6,61.6,61.3,47.0,29.9
100,591,2,2nd,dutch,False,7,2,2,2,5,1,1,5,5,5,5,3,1,5,3,6,2,4,6,2,6,2,7,5,6,6,5,7,1,5,3,6,3,6,4,4,2,6,4,4,5,4,6,6,7,6,1,2,2,5,5,61.6,27.7,66.4,61.2
100,1082,2,2nd,dutch,True,7,2,2,5,6,3,2,6,6,7,6,2,1,3,2,6,4,3,3,6,6,7,3,6,6,4,3,6,3,6,3,6,7,6,6,6,6,7,6,6,7,5,5,3,6,6,7,6,4,6,7,61.6,61.3,47.0,29.9
100,1155,3,2nd,bahasa,False,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,61.6,61.3,66.4,29.9
100,588,3,2nd,bahasa,False,5,5,6,6,6,5,5,6,6,6,6,6,6,5,5,6,1,6,6,6,6,6,6,6,6,6,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,61.6,27.7,47.0,61.2
100,1917,7,2nd,bahasa,False,6,6,6,5,6,3,4,6,6,6,6,4,4,4,4,5,5,6,6,5,6,6,5,6,6,6,5,5,5,5,5,6,6,6,6,5,6,5,6,6,6,6,5,5,6,6,6,5,6,6,6,61.6,61.3,66.4,61.2
100,2350,2,2nd,dutch,True,6,6,4,6,6,2,2,6,7,7,6,6,7,6,4,4,4,5,3,3,6,3,3,3,3,3,2,3,5,3,5,4,2,4,3,2,3,5,4,5,3,6,5,4,6,4,2,2,3,5,5,61.6,61.3,47.0,29.9
100,651,2,2nd,dutch,False,6,3,3,2,5,2,2,5,5,5,4,2,2,2,2,2,5,2,6,6,6,2,6,3,6,6,3,6,2,3,6,5,6,6,6,3,6,6,3,6,6,6,5,6,6,3,6,6,2,6,6,61.6,27.7,66.4,61.2
100,521,2,2nd,dutch,True,6,5,5,7,7,1,1,5,5,5,5,2,2,2,2,6,5,2,6,6,6,6,6,6,6,6,2,6,2,6,5,6,6,6,4,3,6,6,6,6,6,5,5,7,6,6,6,6,2,6,6,61.6,61.3,66.4,29.9
100,495,2,2nd,dutch,True,7,2,2,5,6,2,2,5,6,5,4,3,2,3,4,6,4,5,6,5,6,5,6,6,6,6,4,6,2,6,3,6,5,6,4,4,5,6,5,5,6,6,6,6,6,6,6,3,5,6,6,61.6,61.3,47.0,61.2
100,777,2,2nd,dutch,True,7,3,4,5,6,5,5,6,7,7,6,3,1,4,3,6,2,6,6,6,6,6,6,6,6,6,2,6,2,6,2,6,6,6,6,5,6,6,6,5,6,6,5,6,6,6,5,6,6,6,6,61.6,27.7,47.0,29.9
100,895,2,2nd,dutch,True,7,7,7,7,7,7,7,7,6,5,5,1,1,2,2,7,1,7,6,7,6,6,6,7,7,7,2,7,1,7,1,6,5,7,7,6,7,7,7,6,5,5,6,7,7,6,6,6,6,6,6,61.6,61.3,66.4,61.2
100,1436,2,2nd,dutch,False,6,4,3,3,5,5,1,4,6,5,4,3,3,2,4,3,4,5,5,4,4,4,5,4,5,5,4,5,4,4,6,5,5,5,5,5,6,6,4,4,5,4,4,3,4,5,5,6,4,6,5,61.6,27.7,66.4,29.9
100,418,2,2nd,dutch,True,7,2,2,6,7,5,4,6,7,3,4,3,5,4,4,6,4,4,7,5,6,6,7,6,6,3,3,7,1,7,2,7,7,7,3,3,6,7,6,5,7,4,2,3,7,7,6,3,4,7,7,16.4,61.3,66.4,29.9
100,637,3,2nd,dutch,True,7,3,3,5,5,5,6,7,6,5,6,6,6,3,4,6,3,4,4,3,6,4,3,6,7,4,3,6,2,5,2,5,5,7,5,4,5,7,6,4,5,4,2,2,6,6,4,5,4,7,6,16.4,27.7,47.0,29.9
100,613,3,2nd,dutch,True,7,7,5,7,7,7,7,5,5,6,5,4,2,5,3,5,5,6,3,4,6,6,3,6,7,5,4,7,2,6,4,6,5,7,6,4,5,7,6,6,4,6,3,4,7,6,6,6,5,7,7,16.4,61.3,66.4,61.2
100,1535,4,2nd,dutch,False,7,6,2,5,7,5,3,7,7,7,6,3,3,2,4,4,2,1,5,5,6,4,5,5,7,2,2,7,1,6,2,7,7,7,5,5,5,7,4,1,7,7,4,5,7,7,7,4,4,7,7,16.4,27.7,47.0,61.2
100,1437,2,2nd,dutch,False,6,5,5,5,5,3,3,6,6,6,6,5,5,5,5,5,5,3,3,3,4,2,5,3,6,3,5,6,3,5,5,5,3,6,4,3,4,6,3,4,5,4,5,3,6,5,6,5,2,6,6,16.4,61.3,47.0,29.9
